,ID,Age,Home,Type,Interaction Modifier
6706,2734,58,1265,adult,1
6707,9606,32,4602,public_worker,1
6708,5467,57,2598,medical_professional,1
6709,9608,60,4603,adult,1
6710,4996,51,2363,adult,1
6711,2733,73,1265,pensioner,1
6712,4995,21,2363,public_worker,1
6713,5468,92,2599,pensioner,1
6714,2735,27,1266,adult,1
6715,9611,52,4604,adult,1
6716,4997,56,2363,adult,1
6717,5469,71,2600,pensioner,1
6718,2737,31,1266,public_worker,1
6719,9609,14,4604,under_age,1
6720,5470,74,2600,pensioner,1
6721,2739,76,1266,pensioner,1
6722,4998,38,2364,public_worker,1
6723,9610,14,4604,under_age,1
6724,2738,26,1266,adult,1
6725,5472,83,2601,pensioner,1
6726,9612,44,4604,adult,1
6727,4316,33,2036,adult,1
6728,344,47,161,public_worker,1
6729,8082,35,3869,public_worker,1
6730,340,8,161,under_age,1
6731,4315,4,2036,under_age,1
6732,8085,52,3870,public_worker,1
6733,345,47,162,adult,1
6734,4314,4,2036,under_age,1
6735,8084,14,3870,under_age,1
6736,346,51,162,public_worker,1
6737,8083,8,3870,under_age,1
6738,4318,70,2037,pensioner,1
6739,347,55,163,adult,1
6740,8086,69,3871,pensioner,1
6741,4319,28,2038,adult,1
6742,8087,69,3871,pensioner,1
6743,348,23,164,public_worker,1
6744,8088,66,3872,adult,1
6745,4320,22,2039,adult,1
6746,351,50,165,public_worker,1
6747,350,52,165,adult,1
6748,8090,68,3873,pensioner,1
6749,4322,57,2040,adult,1
6750,349,16,165,under_age,1
6751,8089,69,3873,pensioner,1
6752,4321,78,2040,pensioner,1
6753,352,18,166,under_age,1
6754,8092,56,3874,adult,1
6755,4324,59,2041,adult,1
6756,353,21,167,adult,1
6757,8091,62,3874,adult,1
6758,4323,54,2041,teacher,1
6759,354,65,167,adult,1
6760,8093,6,3875,under_age,1
6761,8094,30,3875,adult,1
6762,4325,80,2042,pensioner,1
6763,355,38,168,adult,1
6764,4327,68,2043,pensioner,1
6765,8095,2,3876,under_age,1
6766,4326,57,2043,adult,1
6767,356,77,169,pensioner,1
6768,8096,8,3876,under_age,1
6769,357,50,170,adult,1
6770,8097,13,3876,under_age,1
6771,4330,26,2044,public_worker,1
6772,8098,17,3876,under_age,1
6773,4329,28,2044,adult,1
6774,8099,50,3876,adult,1
6775,361,56,171,adult,1
6776,4328,42,2044,adult,1
6777,8100,41,3876,adult,1
6778,360,50,171,adult,1
6779,4331,68,2044,pensioner,1
6780,359,23,171,adult,1
6781,8103,48,3877,adult,1
6782,4332,30,2045,adult,1
6783,358,19,171,adult,1
6784,8101,20,3877,adult,1
6785,4333,9,2046,under_age,1
6786,8102,49,3877,adult,1
6787,363,59,172,adult,1
