,infected_to_diagnosed,infected_to_dead,infected_to_recovered,diagnosed_to_hospital,diagnosed_to_dead,diagnosed_to_recovered,hospitalized_to_ICUed,hospitalized_to_dead,hospitalized_to_recovered,ICUed_to_dead,ICUed_to_recovered,infectivity factor
203,0.00093212219291257,0.0,0.0010030559623489936,0.0004091061383434966,2.681599910353428e-06,0.001107445701258403,6.409861325120773e-15,0.00040979353165415477,0.0007363981191839277,0.000571048811800719,0.0013802345755813592,0.012029802954365565
204,0.0009267328193495136,0.0,0.0010041745957162435,0.0004043618449029263,2.6843332081766564e-06,0.0011087462140979987,4.693627286219994e-15,0.00040990333758269745,0.0007370376311882031,0.0005714107890058757,0.0013811094805698735,0.012029802954365565
205,0.0009213106241108752,0.0,0.001005284149428591,0.00039962920485599293,2.6870368960010942e-06,0.001110038421734337,3.430951529492761e-15,0.00041000438502313626,0.0007376671144227839,0.0005717630691333004,0.0013819609475585334,0.012029802954365565
206,0.000915856550085588,0.0,0.001006384590644525,0.0003949091027946477,2.6897108787777195e-06,0.0011113222915827348,2.5036094481459558e-15,0.00041009666748428793,0.000738286542251111,0.0005721056339690404,0.0013827889325239092,0.012029802954365565
207,0.0009103715412349939,0.0,0.0010074758867674016,0.0003902024088533746,2.6923550624372817e-06,0.001112597791242366,1.82374702957458e-15,0.00041018017903708963,0.0007388958884470723,0.0005724384657942252,0.001383593392639193,0.012029802954365565
208,0.0009048565423250748,0.0,0.0010085580054470533,0.00038550997850454657,2.694969353895815e-06,0.0011138648884976227,1.3261987974899972e-15,0.00041025491431523396,0.0007394951271968529,0.0005727615473865945,0.0013843742862778923,0.012029802954365565
209,0.0008993124986599997,0.0,0.0010096309145813855,0.00038083265236411753,2.6975536610600993e-06,0.0011151235513194684,9.62717083664443e-16,0.00041032086851574385,0.0007400842331007586,0.0005730748620219835,0.0013851315730174197,0.012029802954365565
210,0.0008937403558170888,0.0,0.0010106945823179626,0.0003761712560076497,2.700107892833061e-06,0.0011163737478667888,6.976454141882607e-16,0.00041037803739948686,0.0007406631811750085,0.0005733783934757652,0.0013858652136425791,0.012029802954365565
211,0.0008881410593832989,0.0,0.0010117489770555838,0.00037152659979667463,2.702631959119132e-06,0.0011176154464877302,5.046808497849153e-16,0.000410426417291629,0.0007412319468535018,0.0005736721260242515,0.001386575170148952,0.012029802954365565
212,0.00088251555469333,0.0,0.0010127940674458473,0.000366899478715372,2.7051257708295343e-06,0.0011188486157210366,3.644558486333608e-16,0.0004104660050820291,0.000741790505989555,0.0005739560444460494,0.0013872614057461757,0.012029802954365565
