,mean,std,nr
96,5.878396739130435,3.053926495565286,1472.0
97,5.839050131926121,3.0417044284131824,1516.0
98,5.7994875080076875,3.030215316671197,1561.0
99,5.76214196762142,3.0188543794387157,1606.0
100,5.7257869249394675,3.007036113579153,1652.0
101,5.691401648998822,2.995409418822949,1698.0
102,5.654639175257732,2.9850388566563226,1746.0
103,5.61984392419175,2.974771552088644,1794.0
104,5.58686210640608,2.9646296265990393,1842.0
105,5.554439746300211,2.953311356305398,1892.0
106,5.520844055584148,2.9441161115948606,1943.0
107,5.4874749498997994,2.933915999924039,1996.0
108,5.45609756097561,2.9231701555278593,2050.0
109,5.4245014245014245,2.911888623729468,2106.0
110,5.394542090656799,2.900833274520666,2162.0
111,5.363186318631863,2.8892127026079857,2222.0
112,5.329833770778652,2.8768528678265106,2286.0
113,5.2981709910676305,2.864157232643279,2351.0
114,5.2613542526837325,2.8516655102922455,2422.0
115,5.2208,2.839590229076658,2500.0
116,5.181465684373788,2.8278149955803817,2579.0
117,5.143233082706767,2.8157957315675035,2660.0
118,5.104227405247814,2.8042329704779676,2744.0
119,5.067515022976317,2.79232281462314,2829.0
120,5.030521262002743,2.781233582921879,2916.0
121,4.995670995670996,2.770294488547933,3003.0
122,4.960219922380336,2.760475008851077,3092.0
123,4.924623115577889,2.7505981155025516,3184.0
124,4.891025641025641,2.7408192987964957,3276.0
125,4.857439857439857,2.729516221457564,3367.0
126,4.824515755998844,2.7187671707649366,3459.0
127,4.793297662630245,2.7081660799744376,3551.0
128,4.764140582097749,2.697939684068008,3642.0
129,4.7329408616537325,2.6890747206614463,3737.0
130,4.7004956952778505,2.678695477643268,3833.0
131,4.6689567430025445,2.6684202180939343,3930.0
132,4.638033763654419,2.6583570092126703,4028.0
133,4.607558139534884,2.64818832907119,4128.0
134,4.577331759149941,2.6394693148032617,4235.0
135,4.54696132596685,2.63132705753172,4344.0
136,4.514349775784753,2.6230678175732796,4460.0
137,4.477862595419848,2.615733167379821,4585.0
138,4.440084835630965,2.608194389474269,4715.0
139,4.403382140647556,2.600020013445337,4849.0
140,4.366553037898536,2.5921423523552756,4987.0
141,4.330083837005264,2.58612070354073,5129.0
142,4.2915877226222054,2.5807499536139384,5278.0
143,4.253500368459838,2.575814983457274,5428.0
144,4.215949820788531,2.5713960248764254,5580.0
145,4.17806069061737,2.568007493458845,5734.0
146,4.139850644942294,2.565018152765041,5892.0
147,4.099884431236585,2.56277107079005,6057.0
148,4.060893316195373,2.560466618234904,6224.0
149,4.021419637273296,2.558405041826712,6396.0
150,3.98386360176587,2.555721577249421,6569.0
151,3.9470719051149,2.5530000224808793,6745.0
152,3.9106008087810515,2.5504773183831313,6924.0
153,3.8755805770584097,2.5473559100797423,7105.0
154,3.841773020447372,2.544162886782065,7287.0
155,3.8073320845598073,2.5414155007514356,7474.0
156,3.7734568706772804,2.538883753460559,7663.0
157,3.740387063916476,2.5362681661821487,7854.0
158,3.706795875264008,2.5334746535699137,8049.0
159,3.673580786026201,2.5303832688878836,8244.0
160,3.639720677003196,2.5265941033095363,8449.0
161,3.604132994689448,2.5222613995565806,8662.0
162,3.5677775275838775,2.517581415527115,8882.0
163,3.5314524097046878,2.5126434542741913,9109.0
164,3.4964128921726094,2.50723155915605,9339.0
165,3.46269592476489,2.501732756082305,9570.0
166,3.4286296900489397,2.4963323924889416,9808.0
167,3.3950248756218904,2.490937924324531,10050.0
168,3.362541286186128,2.485418388953575,10294.0
169,3.3299497201404042,2.4799850582840826,10541.0
170,3.297933463071078,2.4746564138596625,10791.0
171,3.2663648709823447,2.4693403299502097,11045.0
172,3.2351588073962665,2.4640926525639126,11303.0
173,3.2043233895373975,2.4589009109650855,11565.0
