,building,geometry,amenity,shop,leisure,sport,building:levels,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
102013383,school,"POLYGON ((11.9733062 47.7959276, 11.9733214 47.7957743, 11.9733594 47.795776, 11.9738715 47.795799, 11.9738613 47.7959023, 11.9738346 47.7959011, 11.9738296 47.7959511, 11.9733062 47.7959276))",,,,,,11.973584731515468,47.7958622790831,8.336942000110012e-08,2
102013386,yes,"POLYGON ((11.9740088 47.7936377, 11.9739985 47.7935593, 11.9739819 47.7934328, 11.974592 47.7934101, 11.9746127 47.7936068, 11.9740088 47.7936377))",,,,,,11.974296707656908,47.79352180051427,1.22524194998734e-07,2
104408656,yes,"POLYGON ((12.0083549 47.7841394, 12.0087078 47.7840278, 12.0086287 47.7839149, 12.0083747 47.7839952, 12.0083475 47.7839563, 12.0082485 47.7839876, 12.0083549 47.7841394))",,,,,,12.008475913095662,47.784023998052035,5.337890499989364e-08,2
104408658,yes,"POLYGON ((12.0060683 47.7823636, 12.0062676 47.7823657, 12.0062644 47.7825041, 12.0064032 47.7825055, 12.0064069 47.7823453, 12.006302 47.7823442, 12.0063065 47.7821527, 12.0060732 47.7821503, 12.0060683 47.7823636))",,,,,,12.006232639838524,47.78230912416183,7.127303000001164e-08,2
104408666,yes,"POLYGON ((12.0099158 47.7821091, 12.0104904 47.782193, 12.0105419 47.7820336, 12.0102093 47.7819851, 12.0102649 47.7818132, 12.0104849 47.7818453, 12.0105232 47.7817267, 12.0101465 47.7816718, 12.0100508 47.7819682, 12.0099653 47.7819557, 12.0099158 47.7821091))",,,,,,12.010241793901011,47.78195542128664,1.7031801000075236e-07,2
110085315,farm_auxiliary,"POLYGON ((11.9754857 47.8264893, 11.9754767 47.8263862, 11.9759237 47.8263682, 11.9759326 47.8264715, 11.9754857 47.8264893))",,,,,,11.975704745296463,47.826428794926784,4.628544499915455e-08,2
110199827,yes,"POLYGON ((11.9540419 47.8242036, 11.9537948 47.8242094, 11.9538076 47.8244538, 11.9540547 47.824448, 11.9540419 47.8242036))",,,,,,11.953924749999999,47.82432870000001,6.046548000001272e-08,2
110199828,yes,"POLYGON ((11.9550351 47.8242778, 11.9544454 47.8242869, 11.9544412 47.8241641, 11.9541948 47.8241679, 11.9542057 47.824489, 11.9550419 47.8244762, 11.9550351 47.8242778))",,,,,,11.954574107728806,47.824359351806066,1.962153300019376e-07,2
110565831,yes,"POLYGON ((11.976398 47.8232424, 11.9762458 47.8231838, 11.976176 47.8232655, 11.9761014 47.8232368, 11.9760147 47.8233384, 11.9761578 47.8233935, 11.9762192 47.8233216, 11.9763028 47.8233538, 11.976398 47.8232424))",,,,,,11.976208198506594,47.82328996298302,3.9146755000161424e-08,2
110565832,yes,"POLYGON ((11.9827991 47.8186184, 11.9829276 47.8185823, 11.9827884 47.818359, 11.9826599 47.8183951, 11.9827991 47.8186184))",,,,,,11.98279375,47.8184887,3.3719169999740113e-08,2
110565837,yes,"POLYGON ((11.97604 47.8234183, 11.9758846 47.823364, 11.9756724 47.8236379, 11.9758294 47.8236927, 11.9759021 47.8235987, 11.9758227 47.823571, 11.9758775 47.8235003, 11.9759554 47.8235275, 11.97604 47.8234183))",,,,,,11.97585137544347,47.82352540569113,4.726487000015449e-08,2
