Time-steps;probability
1;0,000416667
2;0,000416667
3;0,000416667
4;0,000416667
5;0,000416667
6;0,000416667
7;0,000416667
8;0,000416667
9;0,000416667
10;0,000416667
11;0,000416667
12;0,000416667
13;0,000416667
14;0,000416667
15;0,000416667
16;0,000416667
17;0,000416667
18;0,000416667
19;0,000416667
20;0,000416667
21;0,000416667
22;0,000416667
23;0,000416667
24;0,000416667
25;0,0025
26;0,0025
27;0,0025
28;0,0025
29;0,0025
30;0,0025
31;0,0025
32;0,0025
33;0,0025
34;0,0025
35;0,0025
36;0,0025
37;0,0025
38;0,0025
39;0,0025
40;0,0025
41;0,0025
42;0,0025
43;0,0025
44;0,0025
45;0,0025
46;0,0025
47;0,0025
48;0,0025
49;0,006666667
50;0,006666667
51;0,006666667
52;0,006666667
53;0,006666667
54;0,006666667
55;0,006666667
56;0,006666667
57;0,006666667
58;0,006666667
59;0,006666667
60;0,006666667
61;0,006666667
62;0,006666667
63;0,006666667
64;0,006666667
65;0,006666667
66;0,006666667
67;0,006666667
68;0,006666667
69;0,006666667
70;0,006666667
71;0,006666667
72;0,006666667
73;0,015
74;0,015
75;0,015
76;0,015
77;0,015
78;0,015
79;0,015
80;0,015
81;0,015
82;0,015
83;0,015
84;0,015
85;0,015
86;0,015
87;0,015
88;0,015
89;0,015
90;0,015
91;0,015
92;0,015
93;0,015
94;0,015
95;0,015
96;0,015
97;0,0275
98;0,0275
99;0,0275
100;0,0275
101;0,0275
102;0,0275
103;0,0275
104;0,0275
105;0,0275
106;0,0275
107;0,0275
108;0,0275
109;0,0275
110;0,0275
111;0,0275
112;0,0275
113;0,0275
114;0,0275
115;0,0275
116;0,0275
117;0,0275
118;0,0275
119;0,0275
120;0,0275
121;0,0525
122;0,0525
123;0,0525
124;0,0525
125;0,0525
126;0,0525
127;0,0525
128;0,0525
129;0,0525
130;0,0525
131;0,0525
132;0,0525
133;0,0525
134;0,0525
135;0,0525
136;0,0525
137;0,0525
138;0,0525
139;0,0525
140;0,0525
141;0,0525
142;0,0525
143;0,0525
144;0,0525
145;0,094166667
146;0,094166667
147;0,094166667
148;0,094166667
149;0,094166667
150;0,094166667
151;0,094166667
152;0,094166667
153;0,094166667
154;0,094166667
155;0,094166667
156;0,094166667
157;0,094166667
158;0,094166667
159;0,094166667
160;0,094166667
161;0,094166667
162;0,094166667
163;0,094166667
164;0,094166667
165;0,094166667
166;0,094166667
167;0,094166667
168;0,094166667
169;0,1775
170;0,1775
171;0,1775
172;0,1775
173;0,1775
174;0,1775
175;0,1775
176;0,1775
177;0,1775
178;0,1775
179;0,1775
180;0,1775
181;0,1775
182;0,1775
183;0,1775
184;0,1775
185;0,1775
186;0,1775
187;0,1775
188;0,1775
189;0,1775
190;0,1775
191;0,1775
192;0,1775
193;0,260833333
194;0,260833333
195;0,260833333
196;0,260833333
197;0,260833333
198;0,260833333
199;0,260833333
200;0,260833333
201;0,260833333
202;0,260833333
203;0,260833333
204;0,260833333
205;0,260833333
206;0,260833333
207;0,260833333
208;0,260833333
209;0,260833333
210;0,260833333
211;0,260833333
212;0,260833333
213;0,260833333
214;0,260833333
215;0,260833333
216;0,260833333
217;0,385833333
218;0,385833333
219;0,385833333
220;0,385833333
221;0,385833333
222;0,385833333
223;0,385833333
224;0,385833333
225;0,385833333
226;0,385833333
227;0,385833333
228;0,385833333
229;0,385833333
230;0,385833333
231;0,385833333
232;0,385833333
233;0,385833333
234;0,385833333
235;0,385833333
236;0,385833333
237;0,385833333
238;0,385833333
239;0,385833333
240;0,385833333
241;0,469166667
242;0,469166667
243;0,469166667
244;0,469166667
245;0,469166667
246;0,469166667
247;0,469166667
248;0,469166667
249;0,469166667
250;0,469166667
251;0,469166667
252;0,469166667
253;0,469166667
254;0,469166667
255;0,469166667
256;0,469166667
257;0,469166667
258;0,469166667
259;0,469166667
260;0,469166667
261;0,469166667
262;0,469166667
263;0,469166667
264;0,469166667
265;0,510833333
266;0,510833333
267;0,510833333
268;0,510833333
269;0,510833333
270;0,510833333
271;0,510833333
272;0,510833333
273;0,510833333
274;0,510833333
275;0,510833333
276;0,510833333
277;0,510833333
278;0,510833333
279;0,510833333
280;0,510833333
281;0,510833333
282;0,510833333
283;0,510833333
284;0,510833333
285;0,510833333
286;0,510833333
287;0,510833333
288;0,510833333
289;0,5525
290;0,5525
291;0,5525
292;0,5525
293;0,5525
294;0,5525
295;0,5525
296;0,5525
297;0,5525
298;0,5525
299;0,5525
300;0,5525
301;0,5525
302;0,5525
303;0,5525
304;0,5525
305;0,5525
306;0,5525
307;0,5525
308;0,5525
309;0,5525
310;0,5525
311;0,5525
312;0,5525
313;0,594166667
314;0,594166667
315;0,594166667
316;0,594166667
317;0,594166667
318;0,594166667
319;0,594166667
320;0,594166667
321;0,594166667
322;0,594166667
323;0,594166667
324;0,594166667
325;0,594166667
326;0,594166667
327;0,594166667
328;0,594166667
329;0,594166667
330;0,594166667
331;0,594166667
332;0,594166667
333;0,594166667
334;0,594166667
335;0,594166667
336;0,594166667
337;0,625
338;0,625
339;0,625
340;0,625
341;0,625
342;0,625
343;0,625
344;0,625
345;0,625
346;0,625
347;0,625
348;0,625
349;0,625
350;0,625
351;0,625
352;0,625
353;0,625
354;0,625
355;0,625
356;0,625
357;0,625
358;0,625
359;0,625
360;0,625
