,building,geometry,amenity,shop,leisure,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
115342850,yes,"POLYGON ((9.721680900000001 51.2075329, 9.721384799999999 51.2075972, 9.721463699999999 51.2077396, 9.7214098 51.2077514, 9.721447400000001 51.2078193, 9.721162899999999 51.2078811, 9.721152 51.2078613, 9.7210053 51.2078932, 9.7209532 51.2077992, 9.721098899999999 51.2077675, 9.721018600000001 51.2076225, 9.721198899999999 51.2075833, 9.721183699999999 51.2075559, 9.721638799999999 51.2074569, 9.721680900000001 51.2075329))",,,,,,9.72127720020775,51.20768619499278,1.3971693499967237e-07,2
115342869,yes,"POLYGON ((9.7215699 51.2081017, 9.722210499999999 51.2081812, 9.722274000000001 51.2079804, 9.722202299999999 51.2079715, 9.7222259 51.2078969, 9.7216571 51.2078262, 9.7215699 51.2081017))",,,,,,9.721923863930039,51.20800576155893,1.7780909499923479e-07,2
115342879,yes,"POLYGON ((9.720969500000001 51.2081043, 9.7214575 51.208, 9.7214046 51.2079029, 9.720916600000001 51.2080072, 9.720969500000001 51.2081043))",,,,,,9.72118705,51.208003600000005,5.290227000059891e-08,2
115342894,yes,"POLYGON ((9.7213425 51.2073872, 9.7216223 51.2073234, 9.721576499999999 51.2072446, 9.7212967 51.2073083, 9.7213425 51.2073872))",,,,,,9.72145947458488,51.20731588215469,2.49819799993138e-08,2
115342930,yes,"POLYGON ((9.721077899999999 51.2075274, 9.7211889 51.2074999, 9.721131 51.2074084, 9.721019999999999 51.2074359, 9.721077899999999 51.2075274))",,,,,,9.72110445,51.2074679,1.174874999991193e-08,2
120494710,yes,"POLYGON ((9.7165927 51.1652611, 9.716832699999999 51.1651863, 9.716889200000001 51.1652576, 9.7166493 51.1653324, 9.7165927 51.1652611))",,,,,,9.716740966415983,51.1652593501997,2.133837499883253e-08,2
120494711,yes,"POLYGON ((9.7156612 51.1657238, 9.7161832 51.1655212, 9.716265699999999 51.1656048, 9.7161773 51.1656391, 9.715743700000001 51.1658074, 9.7156612 51.1657238))",,,,,,9.715963445711553,51.1656642991549,6.035107999902282e-08,2
120494712,yes,"POLYGON ((9.715628300000001 51.1653806, 9.715531199999999 51.1652718, 9.715959700000001 51.1651214, 9.7160045 51.1651715, 9.715902399999999 51.1652074, 9.715954699999999 51.165266, 9.715628300000001 51.1653806))",,,,,,9.715766654563101,51.16525573700039,5.335851500096784e-08,2
120494713,yes,"POLYGON ((9.716152299999999 51.1654981, 9.715954699999999 51.165266, 9.715902399999999 51.1652074, 9.7160045 51.1651715, 9.7161729 51.1651164, 9.7164222 51.1654071, 9.716152299999999 51.1654981))",,,,,,9.716162560590845,51.165306871596,1.0119093000033122e-07,2
120494714,yes,"POLYGON ((9.716582300000001 51.1652477, 9.716525799999999 51.1651759, 9.7167668 51.1651013, 9.7168233 51.1651732, 9.716582300000001 51.1652477))",,,,,,9.716674571247113,51.16517451647384,2.1527924999499965e-08,2
120494715,yes,"POLYGON ((9.7161773 51.1656391, 9.7162144 51.1656787, 9.7163351 51.1656343, 9.716298 51.1655946, 9.716265699999999 51.1656048, 9.7161773 51.1656391))",,,,,,9.716256071728697,51.165636290298245,6.537955000354618e-09,2
120494729,yes,"POLYGON ((9.7151023 51.1655901, 9.7152631 51.1657201, 9.7151338 51.165783, 9.7149929 51.165669, 9.7149731 51.1656531, 9.715026099999999 51.1656272, 9.7151023 51.1655901))",,,,,,9.715118096379168,51.16568655673112,2.6910444999157818e-08,2
