,building,geometry,amenity,shop,leisure,sport,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
24443935,yes,"POLYGON ((13.7955561 52.3859061, 13.7956069 52.3858055, 13.7950894 52.3857081, 13.7950386 52.3858088, 13.7955561 52.3859061))",,,,,,,13.795322711245921,52.38580711689171,5.7031754999934536e-08,1
24443938,yes,"POLYGON ((13.797114 52.3861915, 13.7971712 52.3860949, 13.7967115 52.3859937, 13.7966543 52.3860903, 13.797114 52.3861915))",,,,,,,13.796912750000002,52.38609260000001,5.0195659999688556e-08,1
24443941,yes,"POLYGON ((13.7979277 52.3873459, 13.7980135 52.3871783, 13.7973956 52.3870578, 13.7973097 52.387215, 13.7979277 52.3873459))",,,,,,,13.797664538240168,52.38719996518886,1.1114642499840165e-07,1
24443960,yes,"POLYGON ((13.8043921 52.3882349, 13.8044584 52.3881085, 13.8043706 52.3880912, 13.804537 52.3877737, 13.8043482 52.3877367, 13.8042269 52.3879682, 13.8031297 52.387753, 13.8030184 52.3879654, 13.8043921 52.3882349))",,,,,,,13.80382813454947,52.38797610689143,3.616893900004231e-07,1
24443962,yes,"POLYGON ((13.8069641 52.3917682, 13.8072361 52.3912436, 13.8049564 52.3908034, 13.8049818 52.3907544, 13.804688 52.3906977, 13.8045414 52.3906694, 13.804005 52.3917039, 13.8044534 52.3917905, 13.8046925 52.3913295, 13.8069641 52.3917682))",,,,,,EDEKA Leergutlager,13.805553392383716,52.39127081549994,1.8208830699934918e-06,1
24443964,yes,"POLYGON ((13.8026089 52.3915063, 13.8030689 52.3906127, 13.8024432 52.3904928, 13.8019832 52.3913864, 13.8026089 52.3915063))",,,,,,,13.802526049999999,52.39099955,6.142795200025665e-07,1
24443965,yes,"POLYGON ((13.8032045 52.3916508, 13.8032506 52.391559, 13.8029806 52.3915085, 13.8029345 52.3916004, 13.8032045 52.3916508))",,,,,,,13.803092528256787,52.39157966951441,2.7125245000177452e-08,1
24443968,yes,"POLYGON ((13.8024453 52.3897408, 13.802546 52.3895543, 13.802109 52.3894665, 13.8020084 52.3896529, 13.8024453 52.3897408))",,,,,,,13.802277196956165,52.389603627778,9.031143000041547e-08,1
24451633,yes,"POLYGON ((13.794254 52.4213029, 13.7944964 52.4212544, 13.7945614 52.4213752, 13.7944478 52.4213979, 13.7944296 52.421364, 13.7943008 52.4213898, 13.794254 52.4213029))",,,,,,,13.794413559606964,52.42132943503115,2.759250999942212e-08,0
24451787,church,"POLYGON ((13.8211037 52.4215368, 13.8210979 52.4215167, 13.8211207 52.4215051, 13.8211252 52.421488, 13.8211124 52.4214712, 13.8210834 52.4214666, 13.8210776 52.4214464, 13.8210063 52.421454, 13.8209994 52.4214301, 13.8209431 52.4214362, 13.8209496 52.4214586, 13.8208013 52.4214746, 13.8208079 52.4214971, 13.8207588 52.4215024, 13.8207725 52.4215497, 13.8208178 52.4215448, 13.8208239 52.4215657, 13.8209715 52.4215498, 13.8209797 52.4215783, 13.8210354 52.4215723, 13.8210275 52.421545, 13.8211037 52.4215368))",place_of_worship,,,,,Zum Guten Hirten,13.820949553577249,52.42150662600477,3.246851999974931e-08,2
24451884,yes,"POLYGON ((13.8172968 52.4241583, 13.8173935 52.4241417, 13.8173848 52.4241228, 13.8175143 52.4241005, 13.8175256 52.4241249, 13.8178973 52.4240611, 13.8178892 52.4240436, 13.8179401 52.4240349, 13.8179214 52.4239944, 13.8183057 52.4239284, 13.8183098 52.4239373, 13.8183719 52.4239266, 13.8183639 52.4239092, 13.8190431 52.4237912, 13.8190009 52.4236983, 13.8183183 52.4238175, 13.8183237 52.423829, 13.8179225 52.4238979, 13.8179122 52.4238756, 13.8178739 52.4238822, 13.8178435 52.4238163, 13.8174176 52.4238895, 13.8174639 52.4239897, 13.8173332 52.4240121, 13.8172896 52.4239177, 13.817022 52.4239637, 13.8170336 52.4239886, 13.8169798 52.4239978, 13.8169915 52.4240232, 13.8169421 52.4240317, 13.8169783 52.4241103, 13.8172528 52.4240631, 13.8172968 52.4241583))",,,,,,Haus am Werlsee (Bundeswehr Sozialwerk),13.817868953538571,52.42393885233448,2.920087400008313e-07,2
24451907,yes,"POLYGON ((13.8150158 52.4168502, 13.8152073 52.4167124, 13.8150653 52.416639, 13.8148739 52.4167768, 13.8150158 52.4168502))",social_facility,,,,,"Kinder- und Jugendheim ""Am Löcknitztal""",13.815040584123649,52.416744596627986,3.3613139999276174e-08,2
24459166,house,"POLYGON ((13.8253663 52.4073491, 13.8253657 52.40727, 13.825215 52.4072705, 13.8252157 52.4073495, 13.8253663 52.4073491))",,,,,2,,13.825290690797221,52.40730977054414,1.1909175000096711e-08,2
24459167,yes,"POLYGON ((13.8254726 52.4064908, 13.8254736 52.4063835, 13.8251946 52.4063825, 13.8251936 52.4064898, 13.8254726 52.4064908))",,,,,1,,13.825333599999999,52.406436649999996,2.993770000092713e-08,2
24477294,yes,"POLYGON ((13.8222155 52.4254914, 13.8225252 52.425547, 13.8224661 52.4256695, 13.8221564 52.425614, 13.8222155 52.4254914))",,,,,,,13.822340781323028,52.425580470059714,4.1236739999915876e-08,2
24478041,yes,"POLYGON ((13.8691645 52.4152717, 13.8702514 52.415331, 13.870208 52.4156264, 13.8704691 52.4156406, 13.8705384 52.4151678, 13.8691905 52.4150943, 13.8691645 52.4152717))",,,,,,,13.869975514424624,52.415284630999466,3.1877935000087427e-07,3
24478045,yes,"POLYGON ((13.8693402 52.4155816, 13.8693667 52.4154008, 13.8692213 52.4153929, 13.8691948 52.4155736, 13.8693402 52.4155816))",,,,,,,13.869280756429339,52.41548722687033,2.6491725000308616e-08,3
24478052,watermill,"POLYGON ((13.8701357 52.4159288, 13.87015 52.4158164, 13.8699648 52.4158076, 13.8699788 52.4156972, 13.8698512 52.4156911, 13.8698148 52.4159777, 13.8701276 52.4159925, 13.8701281 52.4159887, 13.8701636 52.4159904, 13.8701712 52.4159305, 13.8701357 52.4159288))",,,,,,Kleinwall'sche Schneidemühle,13.869972673076068,52.41586971957295,7.174413000076178e-08,3
24478055,yes,"POLYGON ((13.8700599 52.4167058, 13.8700599 52.4166101, 13.8696565 52.4166136, 13.8696565 52.4167058, 13.8700599 52.4167058))",,,,,,Alte Försterei,13.869859452350541,52.41665881956715,3.789943000145546e-08,3
24478056,yes,"POLYGON ((13.8699841 52.4169426, 13.8699811 52.4167411, 13.8698352 52.4167419, 13.8698382 52.4169434, 13.8699841 52.4169426))",,,,,,,13.869909649999999,52.41684225,2.9401249999832847e-08,3
24478144,yes,"POLYGON ((13.8231437 52.4264424, 13.8235254 52.4264203, 13.8235058 52.4262946, 13.8231241 52.4263167, 13.8231437 52.4264424))",,,,,,,13.82332475,52.4263685,4.841284999934713e-08,2
24478168,yes,"POLYGON ((13.8220997 52.423059, 13.822243 52.4232785, 13.8225647 52.4232004, 13.822497 52.4230968, 13.8223473 52.4231331, 13.8222716 52.4230172, 13.8220997 52.423059))",,,,,,,13.82231519046618,52.42315336996916,6.170646000009406e-08,2
24478179,yes,"POLYGON ((13.827238 52.4196414, 13.8272515 52.4194914, 13.8264307 52.419464, 13.826419 52.4195946, 13.8264787 52.4195966, 13.8264574 52.4198327, 13.8266642 52.4198397, 13.8266837 52.4196229, 13.827238 52.4196414))",,,,,,,13.826766155542307,52.419599399218725,1.6727996000233703e-07,2
24478930,yes,"POLYGON ((13.8410717 52.4315854, 13.8411208 52.4314958, 13.8409599 52.4314631, 13.8409108 52.4315527, 13.8410717 52.4315854))",,,,,,,13.841015800000001,52.43152425,1.602221000002299e-08,3
24478942,yes,"POLYGON ((13.8234687 52.4259592, 13.8234514 52.4258365, 13.823052 52.4258574, 13.8230693 52.4259801, 13.8234687 52.4259592))",,,,,,,13.823260349999998,52.425908299999996,4.93679499992491e-08,2
24478974,yes,"POLYGON ((13.8224257 52.4234552, 13.8225458 52.4234395, 13.822563 52.4235023, 13.8226488 52.4234918, 13.822666 52.4235389, 13.82246 52.4235703, 13.8224257 52.4234552))",restaurant,,,,,Heidestübchen,13.822528588379102,52.4235083824972,1.849779999972326e-08,2
24479023,yes,"POLYGON ((13.7995166 52.4192708, 13.7997021 52.4191435, 13.799811 52.4192025, 13.7996255 52.4193299, 13.7995166 52.4192708))",restaurant,,,,,Dos Gauchos,13.799663792429142,52.41923668508976,2.48221900004684e-08,0
24479044,yes,"POLYGON ((13.8049266 52.4251253, 13.8049545 52.4249917, 13.8044497 52.4249525, 13.8044218 52.4250861, 13.8049266 52.4251253))",,,,,,,13.80468815,52.4250389,6.853495999886995e-08,0
24479122,yes,"POLYGON ((13.8383189 52.4283954, 13.8382826 52.4281619, 13.8379744 52.4281796, 13.8380106 52.4284132, 13.8383189 52.4283954))",,,,,,,13.838146615848519,52.42828753282083,7.263522500026301e-08,3
44930663,yes,"POLYGON ((13.8391612 52.4264656, 13.8393034 52.4264557, 13.8393424 52.4266651, 13.8392002 52.4266749, 13.8391612 52.4264656))",,,,,,,13.839251805167919,52.4265653223565,3.015372000036803e-08,3
45017251,yes,"POLYGON ((13.8398335 52.4269427, 13.8396769 52.4269501, 13.8396627 52.4270247, 13.8394565 52.4270367, 13.8394498 52.4270122, 13.8394398 52.4269724, 13.8393929 52.4269438, 13.8393025 52.4269958, 13.8392238 52.4270443, 13.839058 52.4270574, 13.8390867 52.4271757, 13.8396993 52.4271516, 13.83971 52.4272528, 13.839873 52.4275856, 13.8398135 52.4275925, 13.8398677 52.4277183, 13.8400696 52.4277114, 13.839992 52.427577, 13.8400554 52.4275759, 13.8398861 52.4272307, 13.8398335 52.4269427))",,,,,,Christian-Schreiber-Haus,13.839667963891365,52.42724139340754,2.294522850006346e-07,3
116187754,yes,"POLYGON ((13.8322136 52.4330859, 13.8330511 52.4328711, 13.8329732 52.4327581, 13.8321357 52.4329729, 13.8322136 52.4330859))",,,,,,,13.8325934,52.43292200000001,1.1137041999927025e-07,3
116187755,yes,"POLYGON ((13.8340699 52.4347868, 13.8342013 52.4348664, 13.834307 52.4349304, 13.8344225 52.4348594, 13.8345195 52.4348001, 13.8346178 52.4348595, 13.8347346 52.4349304, 13.8349309 52.43481, 13.8345231 52.4345629, 13.8342567 52.4347263, 13.8342124 52.4346994, 13.8340699 52.4347868))",,,,,,,13.834505402614603,52.43476648944114,1.552158249983713e-07,3
116187756,yes,"POLYGON ((13.83359 52.4345093, 13.8342157 52.4341703, 13.8340539 52.4340593, 13.8334282 52.4343984, 13.83359 52.4345093))",,,,,,,13.833821974495903,52.43428430957141,1.242797049997537e-07,3
116187757,yes,"POLYGON ((13.83263 52.4336326, 13.8327049 52.4337303, 13.8327798 52.4338279, 13.8329977 52.4337626, 13.8330597 52.4337482, 13.833122 52.4338294, 13.8331816 52.4339072, 13.8334203 52.4338391, 13.8331769 52.4335216, 13.8328229 52.4336225, 13.8327946 52.4335857, 13.83263 52.4336326))",,,,,,,13.833045220563701,52.433708036292764,1.5336378500010695e-07,3
116187758,yes,"POLYGON ((13.8317809 52.4324745, 13.8318578 52.4325787, 13.8319335 52.4326811, 13.8321241 52.4326286, 13.832183 52.4326125, 13.8322454 52.4326972, 13.8323071 52.4327807, 13.8325546 52.4327127, 13.8323101 52.4323817, 13.8319885 52.43247, 13.8319563 52.4324263, 13.8317809 52.4324745))",,,,,,,13.832186748806219,52.43256983880581,1.5663353000017834e-07,3
116187759,yes,"POLYGON ((13.8323016 52.4332051, 13.8323734 52.4332944, 13.8324537 52.4333943, 13.8326499 52.4333355, 13.83272 52.4333147, 13.8327862 52.433397, 13.8328541 52.4334815, 13.8330874 52.4334118, 13.8328398 52.4331037, 13.8325331 52.4331953, 13.8324946 52.4331474, 13.8323016 52.4332051))",,,,,,,13.832713090991177,52.43328261833836,1.472682600003844e-07,3
116187760,yes,"POLYGON ((13.8339229 52.4347103, 13.8345921 52.4343386, 13.8344444 52.4342397, 13.8337751 52.4346115, 13.8339229 52.4347103))",,,,,,,13.83418363619541,52.43447501571066,1.2108142499813097e-07,3
116187761,yes,"POLYGON ((13.8384564 52.4353005, 13.8385521 52.4352096, 13.8387277 52.4352784, 13.838632 52.4353693, 13.8384564 52.4353005))",,,,,,,13.838592049999999,52.43528945,2.2546199999465194e-08,3
116187762,yes,"POLYGON ((13.8332635 52.4343007, 13.8336698 52.434067, 13.8335225 52.4339718, 13.8331163 52.4342056, 13.8332635 52.4343007))",,,,,,,13.83339305377528,52.434136257374426,7.307437499960038e-08,3
116187763,yes,"POLYGON ((13.8357042 52.4358613, 13.8361451 52.4356089, 13.835989 52.4355075, 13.8355481 52.4357599, 13.8357042 52.4358613))",,,,,,,13.835846599999998,52.43568439999999,8.410689999929427e-08,3
116187764,yes,"POLYGON ((13.8379295 52.4351514, 13.83814 52.4352303, 13.8382417 52.4351294, 13.8380312 52.4350505, 13.8379295 52.4351514))",,,,,,,13.838085599999998,52.435140399999995,2.9263579999725245e-08,3
116187765,yes,"POLYGON ((13.8358333 52.4359443, 13.8360221 52.4360673, 13.8364749 52.4358091, 13.8362861 52.4356861, 13.8358333 52.4359443))",,,,,,,13.836154099999998,52.43587669999999,1.0444255999975351e-07,3
116187766,yes,"POLYGON ((13.8354064 52.4356521, 13.8360684 52.4352919, 13.8359199 52.4351904, 13.8352578 52.4355507, 13.8354064 52.4356521))",,,,,,,13.835663136232808,52.435421265740956,1.2068010999860332e-07,3
116187767,yes,"POLYGON ((13.834602 52.4351364, 13.8347335 52.4352166, 13.8348712 52.4353006, 13.8350236 52.4352076, 13.8350771 52.4351751, 13.8351859 52.4352414, 13.8352909 52.4353054, 13.8355074 52.4351735, 13.8350745 52.4349095, 13.8347947 52.4350801, 13.8347445 52.4350495, 13.834602 52.4351364))",,,,,,,13.83506068166645,52.43512714560364,1.7797783499795684e-07,3
117512483,yes,"POLYGON ((13.8205673 52.4268767, 13.8208771 52.4269338, 13.8209482 52.4267904, 13.8206384 52.4267332, 13.8205673 52.4268767))",,,,,,,13.820757734379212,52.426833520205854,4.8504174999832256e-08,2
117512484,yes,"POLYGON ((13.8214187 52.4270167, 13.8217272 52.427073, 13.821798 52.4269286, 13.8214895 52.4268724, 13.8214187 52.4270167))",,,,,,,13.821608365486721,52.42697267973624,4.851447500050553e-08,2
117512485,yes,"POLYGON ((13.8207183 52.4265447, 13.8210202 52.4265992, 13.82109 52.4264555, 13.8207881 52.426401, 13.8207183 52.4265447))",,,,,,,13.820904149999999,52.426500100000005,4.718712999976785e-08,2
117512486,yes,"POLYGON ((13.8210045 52.4269521, 13.8212946 52.4270031, 13.8213627 52.426859, 13.8210726 52.426808, 13.8210045 52.4269521))",,,,,,,13.821183600000001,52.42690555,4.5276509999802415e-08,2
117512487,yes,"POLYGON ((13.8215673 52.4266895, 13.8218558 52.426741, 13.8219249 52.4265971, 13.8216364 52.4265456, 13.8215673 52.4266895))",,,,,,,13.821746099999999,52.4266433,4.5073800000566896e-08,2
117512488,yes,"POLYGON ((13.8202919 52.4264731, 13.8206005 52.4265268, 13.8206679 52.4263827, 13.8203593 52.426329, 13.8202919 52.4264731))",,,,,,,13.8204799,52.4264279,4.808863999957744e-08,2
