,building,geometry,amenity,shop,leisure,sport,healthcare,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
49944695,yes,"POLYGON ((9.3428247 50.2331291, 9.3432917 50.2328594, 9.3432061 50.2327987, 9.3432513 50.2327726, 9.343143 50.2326959, 9.343027599999999 50.2327625, 9.3430626 50.2327874, 9.3427907 50.2329444, 9.342665800000001 50.2330166, 9.3428247 50.2331291))",fire_station,,,,,,Freiwillige Feuerwehr Bad Orb,9.342993570740374,50.23292099305671,1.0488694999989422e-07,2
50823048,church,"POLYGON ((9.3458586 50.2265388, 9.345841099999999 50.2266172, 9.345822399999999 50.2266172, 9.3458199 50.2266474, 9.345791999999999 50.2266474, 9.3457902 50.2266833, 9.3457898 50.2267214, 9.3458004 50.2267208, 9.3458326 50.2268735, 9.345909300000001 50.2268662, 9.346070299999999 50.2268498, 9.346063600000001 50.226796, 9.346151600000001 50.2267903, 9.346149199999999 50.2267689, 9.3461777 50.2267684, 9.346187499999999 50.2267621, 9.346190699999999 50.2267538, 9.3462864 50.2267464, 9.3462788 50.2266943, 9.3462926 50.226685, 9.3463048 50.2266704, 9.346304 50.2266552, 9.3462991 50.2266422, 9.3462853 50.2266313, 9.346295899999999 50.2266213, 9.3462592 50.2266047, 9.346294200000001 50.2265749, 9.3462119 50.2265447, 9.346163000000001 50.2265822, 9.346106000000001 50.2265812, 9.346107200000001 50.2265622, 9.3458586 50.2265388))",place_of_worship,,,,,,St. Martin,9.346024108881164,50.22669368066517,1.2306738500097824e-07,2
50878946,yes,"POLYGON ((9.350744000000001 50.2215347, 9.350848600000001 50.2215704, 9.350597499999999 50.2218638, 9.3504915 50.2219876, 9.350372 50.2219451, 9.3503446 50.2219786, 9.350297400000001 50.2219638, 9.3503282 50.2219294, 9.350226899999999 50.2218945, 9.3502039 50.2218479, 9.3502416 50.2218053, 9.3503121 50.2217923, 9.350424800000001 50.2218327, 9.350459300000001 50.2218271, 9.3504644 50.2218445, 9.350476 50.2218486, 9.350744000000001 50.2215347))",,,,,,,Lesehalle,9.350523849012234,50.221797686254746,8.420500999970731e-08,1
50878948,public,"POLYGON ((9.350682600000001 50.2212235, 9.3506166 50.2212876, 9.350218 50.2216745, 9.3499742 50.2219111, 9.3494808 50.2223898, 9.349441199999999 50.2224283, 9.349258900000001 50.2223514, 9.3503708 50.2212724, 9.3505003 50.2211466, 9.350682600000001 50.2212235))",,,,,,,Gradierwerk,9.349970792340052,50.221787460819584,3.150810600007765e-07,1
50878949,public,"POLYGON ((9.3514274 50.2192491, 9.351458600000001 50.2192199, 9.351487199999999 50.219194, 9.3515946 50.2192417, 9.351962199999999 50.2189028, 9.352050800000001 50.218939, 9.352248700000001 50.2190291, 9.3523946 50.2190949, 9.351967200000001 50.2194889, 9.351864000000001 50.2194431, 9.351821899999999 50.2194819, 9.351734799999999 50.2194426, 9.3516523 50.2194066, 9.3516944 50.2193677, 9.3514274 50.2192491))",concert_hall,,,,,,Konzerthalle,9.351943015905087,50.219205132422246,2.7158337500086166e-07,1
50878950,yes,"POLYGON ((9.350003900000001 50.2200197, 9.350282 50.2201455, 9.350318100000001 50.220162, 9.350736299999999 50.2197833, 9.351137700000001 50.2194236, 9.350791600000001 50.2192655, 9.350328299999999 50.2196829, 9.3500064 50.219973, 9.349971999999999 50.2200039, 9.350003900000001 50.2200197))",,,,,,,Kurhotel an der Therme Bad Orb,9.350554276487085,50.219713754486605,3.845195150014414e-07,1
51219033,yes,"POLYGON ((9.349687299999999 50.2229341, 9.349755399999999 50.222825, 9.349536199999999 50.222769, 9.349468099999999 50.2228781, 9.349687299999999 50.2229341))",,,,,,,,9.34961175,50.222851549999994,2.7728320000734938e-08,1
55132599,yes,"POLYGON ((9.342072999999999 50.2330091, 9.342360599999999 50.2333301, 9.341842400000001 50.2335201, 9.3417893 50.2334607, 9.341735 50.2334806, 9.341547200000001 50.2332709, 9.341598899999999 50.233252, 9.3413939 50.2330231, 9.341567400000001 50.2329595, 9.341725800000001 50.2331363, 9.342072999999999 50.2330091))",,supermarket,,,,,Edeka Aktiv Markt Habig,9.341883141609316,50.23324287107055,2.770336800018505e-07,2
56184035,yes,"POLYGON ((9.359614000000001 50.2123069, 9.359631800000001 50.2123527, 9.3598154 50.2123847, 9.3598353 50.2123881, 9.3598304 50.2124055, 9.3597863 50.2125082, 9.3595904 50.2124787, 9.3595367 50.2124706, 9.359493199999999 50.212464, 9.359461700000001 50.2124451, 9.3594271 50.2124221, 9.3593733 50.2122331, 9.359581800000001 50.2122016, 9.359614000000001 50.2123069))",,,,,,,Brunnenhof,9.359579137142282,50.21236745641458,7.67628350003516e-08,1
56184036,chapel,"POLYGON ((9.360307000000001 50.212386, 9.3604214 50.2124061, 9.3604044 50.2124514, 9.3603542 50.2124482, 9.360326799999999 50.2125051, 9.360321000000001 50.21251, 9.360312800000001 50.2125132, 9.360303099999999 50.2125149, 9.3602899 50.2125133, 9.3602776 50.2125106, 9.3602676 50.2125056, 9.3602623 50.2124997, 9.360261700000001 50.2124927, 9.360290600000001 50.2124211, 9.360307000000001 50.212386))",,,,,,,,9.360331437742326,50.212445077659474,1.104923499953351e-08,1
56184038,yes,"POLYGON ((9.3589985 50.21241, 9.359196300000001 50.2124039, 9.3591885 50.2122245, 9.3589992 50.2122251, 9.3589985 50.21241))",,,,,,,,9.359095164319926,50.21231655799291,3.526702500020696e-08,1
56184039,yes,"POLYGON ((9.358780299999999 50.2127119, 9.358984899999999 50.2126753, 9.3589745 50.2126553, 9.359033500000001 50.2126486, 9.3590304 50.2126427, 9.359287399999999 50.2126022, 9.3592967 50.2126236, 9.359357299999999 50.2127443, 9.358832700000001 50.2128306, 9.358780299999999 50.2127119))",clinic,,,,,,Reha-Kliniken Küppelsmühle,9.35907446874601,50.212718539125774,7.493780499764077e-08,1
56184040,yes,"POLYGON ((9.360140100000001 50.2128634, 9.359709499999999 50.2127626, 9.3597375 50.2127136, 9.3597479 50.2126956, 9.3597708 50.2126555, 9.3599768 50.2127038, 9.3602013 50.2127563, 9.360140100000001 50.2128634))",,,,,,,Annenhof,9.35995540884995,50.21275946592616,5.227176000057678e-08,1
56184400,yes,"POLYGON ((9.359874100000001 50.2123583, 9.3598675 50.2123726, 9.3598503 50.2124094, 9.3598438 50.2124231, 9.359844600000001 50.212436, 9.3598622 50.2124432, 9.359882000000001 50.212445, 9.359900400000001 50.2124369, 9.3599251 50.2124351, 9.3600843 50.2124623, 9.360261700000001 50.2124927, 9.360290600000001 50.2124211, 9.359874100000001 50.2123583))",,,,,,,,9.360065763413129,50.212424364317876,3.094956500010492e-08,1
56330117,yes,"POLYGON ((9.3540524 50.2168763, 9.354114300000001 50.2168527, 9.3541495 50.2168904, 9.3545207 50.2167485, 9.354494600000001 50.2167205, 9.354647 50.2166622, 9.3545871 50.216598, 9.354564699999999 50.2166066, 9.3542877 50.2163099, 9.3544383 50.2162524, 9.3544979 50.2163162, 9.354599199999999 50.2162775, 9.354576700000001 50.2162533, 9.354991 50.2160949, 9.3547732 50.2158615, 9.354663199999999 50.2159036, 9.354615600000001 50.2158526, 9.3543617 50.2159497, 9.3544415 50.2160352, 9.354177699999999 50.2161361, 9.353949999999999 50.2158922, 9.3538672 50.2159239, 9.353829299999999 50.2158834, 9.353863499999999 50.2158703, 9.353846600000001 50.2158522, 9.3539829 50.2158001, 9.3539327 50.2157463, 9.353975800000001 50.2157299, 9.3539075 50.2156568, 9.3536988 50.2157366, 9.3532136 50.215922, 9.353351099999999 50.2160693, 9.353748 50.2159176, 9.353782000000001 50.215954, 9.3537023 50.2159845, 9.3539412 50.2162404, 9.353408 50.2164442, 9.353547799999999 50.2165938, 9.3538157 50.2164914, 9.353782600000001 50.216456, 9.353926 50.2164012, 9.354087099999999 50.2165738, 9.353781400000001 50.2166907, 9.353883700000001 50.2168002, 9.3539557 50.2167727, 9.3540524 50.2168763))",clinic,,,,rehabilitation,,MediClin Reha-Zentrum Bad Orb,9.354117509837149,50.216265502735304,8.299137150012595e-07,1
57729553,yes,"POLYGON ((9.3377201 50.2358056, 9.3378193 50.2357678, 9.337874599999999 50.2358239, 9.3379212 50.2358078, 9.337847999999999 50.2357075, 9.337811 50.235722, 9.3377477 50.2356562, 9.337621800000001 50.2357057, 9.337647499999999 50.2357325, 9.337623199999999 50.235742, 9.3376649 50.2357855, 9.3376909 50.2357753, 9.3377201 50.2358056))",,,,,,,,9.337759020005306,50.23574174843426,2.459799999979685e-08,2
57729554,yes,"POLYGON ((9.337140099999999 50.2360151, 9.3371681 50.2360036, 9.3371944 50.23603, 9.337330100000001 50.2359746, 9.337296500000001 50.235941, 9.337286499999999 50.2359451, 9.3372352 50.2358937, 9.337204399999999 50.2359063, 9.3371713 50.2358731, 9.3370683 50.2359151, 9.3371163 50.2359631, 9.337096300000001 50.2359713, 9.337140099999999 50.2360151))",,,,,,,,9.337192615847814,50.235952667747654,2.2211539999973768e-08,2
57729555,yes,"POLYGON ((9.3401614 50.2348163, 9.3402314 50.2347689, 9.3401953 50.2347469, 9.340216399999999 50.2347327, 9.34013 50.2346802, 9.3400769 50.2347162, 9.3400649 50.2347089, 9.3400307 50.234732, 9.340041299999999 50.2347385, 9.3400108 50.2347592, 9.340078399999999 50.2348002, 9.3401052 50.2347821, 9.3401614 50.2348163))",,,,,,,,9.340125390138404,50.23475051605243,1.6209204999756113e-08,2
57729557,yes,"POLYGON ((9.3385208 50.2348047, 9.3385949 50.2347898, 9.3385631 50.2347249, 9.3386561 50.2347068, 9.3386329 50.2346366, 9.3386066 50.2346403, 9.338589300000001 50.2345917, 9.338424699999999 50.2346124, 9.338485800000001 50.2347297, 9.338511 50.2347815, 9.3385208 50.2348047))",,,,,,,,9.33854133141446,50.23468283045322,2.7252294999517882e-08,2
57729558,yes,"POLYGON ((9.3363116 50.235508, 9.3363665 50.235576, 9.336259399999999 50.2356114, 9.336204499999999 50.2355434, 9.3363116 50.235508))",,,,,,,,9.336285499999999,50.2355597,9.226260000228745e-09,2
57729560,yes,"POLYGON ((9.3374939 50.235859, 9.3375811 50.235823, 9.337600999999999 50.2358149, 9.3375152 50.2357297, 9.3374082 50.2357738, 9.3374939 50.235859))",,,,,,,,9.337504561632858,50.235794338603505,1.2897194999897849e-08,2
57729561,yes,"POLYGON ((9.340628799999999 50.2345013, 9.3407783 50.2344026, 9.340764999999999 50.2343943, 9.340806499999999 50.2343669, 9.3407248 50.2343159, 9.340548 50.2344326, 9.340575599999999 50.2344498, 9.340561299999999 50.2344592, 9.340628799999999 50.2345013))",,,,,,,,9.340675861535034,50.234408517551074,2.2096905000382517e-08,2
57729563,yes,"POLYGON ((9.338785700000001 50.2352112, 9.338914900000001 50.2351682, 9.3388977 50.2351468, 9.338909599999999 50.2351429, 9.338882 50.2351088, 9.3388613 50.2351156, 9.338797 50.235036, 9.338676400000001 50.2350761, 9.338687200000001 50.2350894, 9.3386233 50.2351107, 9.338633099999999 50.2351228, 9.338686900000001 50.2351894, 9.3387119 50.2352205, 9.3387528 50.2352069, 9.338748600000001 50.2352017, 9.3387718 50.235194, 9.338785700000001 50.2352112))",,,,,,,,9.338768337105792,50.23513279737233,3.0549499999823094e-08,2
57729564,yes,"POLYGON ((9.3368222 50.2351493, 9.3369456 50.235113, 9.3368985 50.2350475, 9.336775100000001 50.2350837, 9.3368222 50.2351493))",,,,,,,,9.336860338933556,50.23509838143159,9.79624500027885e-09,2
57729566,yes,"POLYGON ((9.336933999999999 50.2358245, 9.3370964 50.2357568, 9.337058900000001 50.2357201, 9.3370148 50.2357384, 9.336994499999999 50.2357186, 9.336876200000001 50.2357679, 9.336933999999999 50.2358245))",,,,,,,,9.33698204405058,50.235766885316636,1.1855094999750319e-08,2
57729568,yes,"POLYGON ((9.3393181 50.2353484, 9.3394051 50.2352935, 9.3392529 50.2351947, 9.339219099999999 50.235216, 9.339195699999999 50.2352008, 9.3391424 50.2352344, 9.339221200000001 50.2352856, 9.3391787 50.2353095, 9.339199799999999 50.2353373, 9.3392383 50.2353878, 9.3393181 50.2353484))",,,,,,,,9.33926746414664,50.23528591916901,2.535357999971256e-08,2
57729569,yes,"POLYGON ((9.3372416 50.2350741, 9.337346399999999 50.2350432, 9.3373325 50.2350239, 9.337346999999999 50.2350196, 9.3373349 50.2350028, 9.337385400000001 50.2349879, 9.3373347 50.2349177, 9.337207100000001 50.2349553, 9.3372449 50.2350077, 9.337202700000001 50.2350201, 9.3372416 50.2350741))",,,,,,,,9.33728908873385,50.23499415558956,1.666715499992757e-08,2
57729570,yes,"POLYGON ((9.337009800000001 50.2351243, 9.337185699999999 50.2350723, 9.3371966 50.2350875, 9.3372416 50.2350741, 9.337202700000001 50.2350201, 9.337157400000001 50.2350336, 9.3371192 50.2349807, 9.3369927 50.2350182, 9.3370377 50.2350805, 9.3369886 50.235095, 9.337009800000001 50.2351243))",,,,,,,,9.337100415328043,50.235051920305835,1.87826350000269e-08,2
57729571,yes,"POLYGON ((9.3394599 50.2350301, 9.339536499999999 50.2350122, 9.339521899999999 50.2349864, 9.3395663 50.234976, 9.3395385 50.2349272, 9.339549399999999 50.2349246, 9.339517799999999 50.2348691, 9.339382000000001 50.2349009, 9.339387 50.2349096, 9.33938 50.2349112, 9.339393400000001 50.2349349, 9.339404399999999 50.2349323, 9.3394599 50.2350301))",,,,,,,,9.339478439076284,50.23494504426433,1.7558480000254863e-08,2
57729572,yes,"POLYGON ((9.337294699999999 50.2356604, 9.337420399999999 50.2356097, 9.337320500000001 50.2355108, 9.3372008 50.2355634, 9.337294699999999 50.2356604))",,,,,,,,9.337309617610869,50.235586131217595,1.702335000003458e-08,2
57729575,yes,"POLYGON ((9.337504600000001 50.2350229, 9.3376412 50.2349818, 9.3376497 50.2349795, 9.3375529 50.2348456, 9.337424499999999 50.2348838, 9.3374603 50.2349332, 9.3374434 50.2349382, 9.3374723 50.2349791, 9.3374437 50.2349868, 9.3374746 50.235014, 9.337493800000001 50.2350089, 9.337504600000001 50.2350229))",,,,,,,,9.337530539644685,50.2349374855992,2.350171999982941e-08,2
57729576,yes,"POLYGON ((9.336754300000001 50.2358962, 9.3368678 50.2358489, 9.3367585 50.2357416, 9.336661599999999 50.2357819, 9.3366332 50.2357541, 9.3365898 50.2357722, 9.336638900000001 50.2358204, 9.336665699999999 50.2358093, 9.336754300000001 50.2358962))",,,,,,,,9.336740546361325,50.235814703724806,1.985807500025448e-08,2
57729577,yes,"POLYGON ((9.338600899999999 50.2352763, 9.3387145 50.2352372, 9.338677300000001 50.2351927, 9.338686900000001 50.2351894, 9.338633099999999 50.2351228, 9.3385085 50.2351655, 9.338600899999999 50.2352763))",,,,,,,,9.338613685339544,50.23519913194141,1.7056630000346645e-08,2
57729579,yes,"POLYGON ((9.340016 50.234913, 9.340085 50.2348655, 9.340134000000001 50.2348949, 9.3401517 50.2348827, 9.3400196 50.2348037, 9.339954000000001 50.2348488, 9.339899000000001 50.2348159, 9.3398527 50.2348477, 9.3399199 50.2348879, 9.3399272 50.2348922, 9.3399524 50.2348749, 9.340016 50.234913))",,,,,,,,9.339995542137249,50.23485811599461,1.427370499953158e-08,2
57729580,yes,"POLYGON ((9.337921 50.2348719, 9.338025999999999 50.2348439, 9.337989800000001 50.2347884, 9.338010300000001 50.2347829, 9.337972300000001 50.2347248, 9.337846900000001 50.2347583, 9.337921 50.2348719))",,,,,,,,9.337940496017383,50.23479705312243,1.540293499994468e-08,2
57729581,yes,"POLYGON ((9.3376888 50.2355257, 9.337816399999999 50.2354736, 9.3378047 50.2354619, 9.3377775 50.2354346, 9.337751900000001 50.2354089, 9.3376243 50.2354609, 9.3376888 50.2355257))",,,,,,,,9.337720333793552,50.23546728490842,1.161807499945951e-08,2
57729582,yes,"POLYGON ((9.3371175 50.2357537, 9.337241499999999 50.2357013, 9.3371782 50.2356401, 9.337054200000001 50.2356925, 9.3371175 50.2357537))",,,,,,,,9.337147850000001,50.235696899999986,1.0905719999912708e-08,2
57729584,yes,"POLYGON ((9.337747200000001 50.234948, 9.3378275 50.234926, 9.33778 50.2348545, 9.337815000000001 50.234845, 9.3377906 50.2348082, 9.3378009 50.2348054, 9.3377827 50.234778, 9.3376456 50.2348155, 9.3376877 50.2348789, 9.337699199999999 50.2348758, 9.3377453 50.2349451, 9.337747200000001 50.234948))",,,,,,,,9.337744957422501,50.23485828546689,1.6719944999931615e-08,2
57729585,yes,"POLYGON ((9.336710200000001 50.2352307, 9.336691699999999 50.2352048, 9.336743200000001 50.2351898, 9.336694700000001 50.2351217, 9.3365162 50.2351737, 9.3365642 50.2352412, 9.3365981 50.2352313, 9.336617 50.2352579, 9.336710200000001 50.2352307))",,,,,,,,9.336633852222018,50.23518990946539,1.757242500021166e-08,2
57729586,yes,"POLYGON ((9.3392184 50.2350719, 9.3393339 50.235033, 9.339248100000001 50.2349282, 9.339233200000001 50.2349332, 9.3392079 50.2349261, 9.339152 50.2349442, 9.3391234 50.2349092, 9.3390583 50.2349311, 9.339139899999999 50.2350294, 9.339141 50.2350307, 9.3391752 50.2350192, 9.3392184 50.2350719))",,,,,,,,9.339200137122207,50.23498752099541,2.2697155000487704e-08,2
57729587,yes,"POLYGON ((9.338313899999999 50.2347429, 9.3384029 50.2347193, 9.3383881 50.2346964, 9.3384176 50.2346886, 9.338375299999999 50.2346232, 9.3382279 50.2346623, 9.338268899999999 50.2347256, 9.338297799999999 50.2347179, 9.338313899999999 50.2347429))",,,,,,,,9.33832791463981,50.23468294504831,1.360451500004542e-08,2
57729588,yes,"POLYGON ((9.3375155 50.2355848, 9.3376286 50.2355391, 9.337564 50.2354738, 9.337593200000001 50.235462, 9.337548999999999 50.2354174, 9.3374068 50.2354749, 9.3375155 50.2355848))",,,,,,,,9.337521374466917,50.23550117608806,1.9219979999473493e-08,2
57729590,yes,"POLYGON ((9.3384223 50.2353444, 9.338542199999999 50.2353057, 9.3384599 50.2352015, 9.3383407 50.23524, 9.338387300000001 50.2352994, 9.3384223 50.2353444))",,,,,,,,9.338441349381421,50.2352729365947,1.5623335000017663e-08,2
57729591,yes,"POLYGON ((9.3399445 50.2345292, 9.3400941 50.2345181, 9.340070000000001 50.2343848, 9.3399204 50.2343958, 9.3399445 50.2345292))",,,,,,,,9.34000724101375,50.23445697700623,2.0215464999781375e-08,2
57729592,yes,"POLYGON ((9.3391506 50.2346018, 9.3391623 50.2346355, 9.339309999999999 50.2346146, 9.3392879 50.2345508, 9.339264099999999 50.2345542, 9.3392458 50.2345014, 9.339122100000001 50.2345189, 9.339135199999999 50.2345569, 9.3390959 50.2345624, 9.3391114 50.2346073, 9.3391506 50.2346018))",,,,,,,,9.339203169670549,50.23457118375545,1.8582405000421333e-08,2
57729593,yes,"POLYGON ((9.339003200000001 50.2351331, 9.339110700000001 50.2350964, 9.339065400000001 50.2350418, 9.339085499999999 50.235035, 9.3390939 50.2350451, 9.339139899999999 50.2350294, 9.3390583 50.2349311, 9.3390492 50.2349201, 9.338979699999999 50.2349438, 9.339000499999999 50.2349688, 9.339026199999999 50.23496, 9.339045799999999 50.2349836, 9.3389159 50.2350279, 9.339003200000001 50.2351331))",,,,,,,,9.339031572112527,50.23503367635304,2.294939500027679e-08,2
57729594,yes,"POLYGON ((9.3361334 50.2353555, 9.336161600000001 50.2353467, 9.3362021 50.2354001, 9.336330999999999 50.23536, 9.3362423 50.2352433, 9.336085199999999 50.2352922, 9.3361334 50.2353555))",,,,,,,,9.336211729002093,50.23532145980714,2.0801854999651525e-08,2
57729595,yes,"POLYGON ((9.3381618 50.2356778, 9.338229399999999 50.2356527, 9.338253 50.2356787, 9.338343800000001 50.235645, 9.3382547 50.2355471, 9.3380964 50.235606, 9.3381618 50.2356778))",,,,,,,,9.338221721911962,50.23561871544696,1.838174000049261e-08,2
