,building,geometry,amenity,healthcare,healthcare:speciality,building:levels,school_type,type,members,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
47203736,yes,"POLYGON ((6.0216056 50.9553307, 6.0215312 50.9554087, 6.0216243 50.9554615, 6.0217188 50.9553995, 6.0216056 50.9553307))",,,,,,,,6.021621248086912,50.955398622090975,1.2355060000109725e-08,1
47219081,yes,"POLYGON ((6.0216626 50.9705164, 6.0216123 50.9704583, 6.0216567 50.9704425, 6.0216881 50.9704314, 6.02172 50.9704207, 6.0217436 50.9704476, 6.0217709 50.970479, 6.0217656 50.9704809, 6.0216626 50.9705164))",,,,,,,,6.0216914925214,50.970468504790446,8.215375000067951e-09,1
47219102,yes,"POLYGON ((5.9630473 50.983697, 5.9629753 50.9836246, 5.9629422 50.9836382, 5.963014 50.9837106, 5.9630473 50.983697))",,,,,,,,5.962994727882333,50.9836676249237,3.3815200002324015e-09,1
47219104,yes,"POLYGON ((5.9633056 50.9836821, 5.9632699 50.9836943, 5.9632953 50.9837206, 5.9633296 50.9837068, 5.9633056 50.9836821))",,,,,,,,5.963299928152741,50.983701022924215,1.2135999998283e-09,1
47219105,yes,"POLYGON ((5.9613445 50.9853004, 5.9614193 50.9852453, 5.9612944 50.9851781, 5.9612196 50.9852331, 5.9613445 50.9853004))",,,,,,,,5.961319457002723,50.985239233761135,1.1906045000117836e-08,1
47219106,yes,"POLYGON ((5.9713957 50.9814757, 5.971449 50.9814797, 5.9714594 50.981424, 5.9714059 50.98142, 5.9713957 50.9814757))",,,,,,,,5.971427504351347,50.98144983294142,3.015580000025526e-09,1
47219107,yes,"POLYGON ((5.9698738 50.9818599, 5.9698207 50.9819212, 5.9700024 50.981984, 5.9700581 50.9819215, 5.9698738 50.9818599))",,,,,,,,5.969939174758838,50.981921750810564,1.4711379999506498e-08,1
47219108,yes,"POLYGON ((5.9695348 50.9809996, 5.9694347 50.9809855, 5.9694151 50.9810438, 5.9695162 50.9810571, 5.9695348 50.9809996))",,,,,,,,5.969475059132204,50.98102151612106,6.086410000102825e-09,1
47219109,yes,"POLYGON ((5.9695746 50.9810694, 5.9697067 50.9810923, 5.969728 50.9810412, 5.9695959 50.9810186, 5.9695746 50.9810694))",,,,,,,,5.969651358893121,50.981055389173484,7.215070000274338e-09,1
47219110,yes,"POLYGON ((5.9680992 50.9828319, 5.968212 50.9828188, 5.9681965 50.982768, 5.9681813 50.982718, 5.9679716 50.9827433, 5.9679866 50.9827925, 5.9680024 50.9828441, 5.9680447 50.9828392, 5.9680519 50.9828608, 5.9680409 50.9828666, 5.9680289 50.982876, 5.968022 50.9828865, 5.968019 50.982898, 5.9680226 50.9829104, 5.9680303 50.9829212, 5.9680415 50.9829306, 5.9680535 50.9829365, 5.9680731 50.9829418, 5.9680901 50.9829427, 5.968106 50.9829413, 5.9681196 50.9829384, 5.9681319 50.9829344, 5.9681429 50.9829279, 5.9681505 50.9829218, 5.9681568 50.9829143, 5.9681608 50.9829068, 5.9681628 50.9828984, 5.9681614 50.9828895, 5.9681592 50.9828827, 5.9681545 50.9828764, 5.9681493 50.9828703, 5.9681416 50.9828645, 5.9681342 50.9828601, 5.9681216 50.9828557, 5.968106 50.9828512, 5.9680992 50.9828319))",restaurant,,,,,,,5.968091081279057,50.98281860249814,3.304963499996478e-08,1
