,building,geometry,amenity,shop,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
32358385,yes,"POLYGON ((12.3408825 51.8288441, 12.3410641 51.8287802, 12.3409862 51.8286832, 12.3408025 51.8287472, 12.3408825 51.8288441))",,,,Kapenschlößchen,12.340933686250027,51.82876362708812,2.2756769999390586e-08,3
38083654,yes,"POLYGON ((12.4509166 51.8773014, 12.4512177 51.8772869, 12.4511837 51.8770181, 12.450873 51.877033, 12.4508885 51.8771557, 12.4510577 51.8771476, 12.4510688 51.877236, 12.4509093 51.8772437, 12.4509166 51.8773014))",,,,Elbterrasse Wörlitz,12.451061121136428,51.87715115332841,6.842930500068017e-08,0
40101516,yes,"POLYGON ((12.3973679 51.7992506, 12.3998238 51.7988913, 12.3997829 51.7987845, 12.3973271 51.7991438, 12.3973679 51.7992506))",,,,Orangerie,12.398575451680843,51.7990175464589,2.7696218500286874e-07,1
40118785,yes,"POLYGON ((12.4041216 51.800183, 12.4043054 51.8001523, 12.4043328 51.8001477, 12.40433 51.8001414, 12.4042739 51.8000128, 12.404224 51.8000212, 12.4038764 51.8000792, 12.4037361 51.7997581, 12.404136 51.7996894, 12.4040888 51.7995562, 12.404086 51.7995478, 12.4040327 51.799556, 12.4038847 51.7995817, 12.4039164 51.7996543, 12.4036671 51.7996959, 12.4036849 51.7997368, 12.4035245 51.7997636, 12.4035766 51.7998828, 12.4035265 51.7998912, 12.4035818 51.8000177, 12.4036252 51.8000104, 12.4036777 51.8001306, 12.4038275 51.8001056, 12.4038474 51.800151, 12.4040899 51.8001105, 12.4041216 51.800183))",,,,Schloss Oranienbaum,12.403867211976404,51.79990436860459,1.783420449991004e-07,1
40127242,church,"POLYGON ((12.4064608 51.7974495, 12.4064696 51.7974657, 12.4066377 51.7974431, 12.4066352 51.7974254, 12.4066714 51.7974129, 12.4067078 51.7973881, 12.4067191 51.7973617, 12.4067391 51.7973594, 12.4067266 51.7973035, 12.406709 51.7973043, 12.4066783 51.7972668, 12.4066193 51.7972461, 12.4065459 51.7972399, 12.4064756 51.7972446, 12.4064029 51.7972609, 12.4063564 51.7972826, 12.4063175 51.7973128, 12.4063138 51.797347, 12.4062937 51.7973516, 12.4063113 51.7974106, 12.4063339 51.7974091, 12.4063542 51.7974325, 12.4064038 51.7974501, 12.4064608 51.7974495))",place_of_worship,,,Stadtkirche,12.406515211472353,51.797349670416324,7.347551999941317e-08,1
40189113,yes,"POLYGON ((12.4211015 51.8462385, 12.4215935 51.8460351, 12.4213645 51.8458238, 12.4211985 51.8458924, 12.4211581 51.845855, 12.4209865 51.845926, 12.4210242 51.8459608, 12.4208699 51.8460246, 12.4211015 51.8462385))",,,,Schloss Wörlitz,12.421223901508919,51.846023946039494,1.6036922000047815e-07,0
47440188,yes,"POLYGON ((12.4193918 51.8433338, 12.419444 51.8434153, 12.4195991 51.8433775, 12.419626 51.8434194, 12.4194758 51.8434561, 12.419527 51.843536, 12.419711 51.8434911, 12.4195809 51.8432877, 12.4193918 51.8433338))",townhall,,,Stadt Oranienbaum-Wörlitz,12.419555481172857,51.843410368794515,3.646860000001924e-08,0
47440189,yes,"POLYGON ((12.4189521 51.8432353, 12.418803 51.8432759, 12.4188781 51.8433811, 12.4187856 51.8434063, 12.4188251 51.8434616, 12.4191464 51.843374, 12.4191072 51.843319, 12.4190274 51.8433408, 12.4189521 51.8432353))",,,,,12.418942045360462,51.84335174774669,3.992431999864302e-08,0
47440367,yes,"POLYGON ((12.4048661 51.7991155, 12.4048424 51.7990547, 12.4047962 51.7989363, 12.4046787 51.7989539, 12.4046275 51.7989615, 12.4046727 51.7990774, 12.4046125 51.7990863, 12.4046372 51.7991497, 12.4048661 51.7991155))",,,,,12.404736519278917,51.7990469148545,3.602604999978832e-08,1
49156873,yes,"POLYGON ((12.4122039 51.8482835, 12.4124946 51.848231, 12.4124583 51.8481544, 12.4121676 51.8482069, 12.4122039 51.8482835))",,,,Wörlitz Information,12.412331100000001,51.84821895,2.4173370000091334e-08,0
49156874,yes,"POLYGON ((12.4281303 51.8378805, 12.428252 51.8380056, 12.4283462 51.8379706, 12.4285186 51.8381478, 12.4285466 51.8382127, 12.4285066 51.8382146, 12.4283031 51.8382946, 12.4283837 51.8383854, 12.428413 51.8384183, 12.4287216 51.8383137, 12.4288628 51.8384726, 12.4290607 51.8384055, 12.4291244 51.8384773, 12.4289106 51.8385498, 12.4289834 51.8386318, 12.428758 51.8387082, 12.4288534 51.8388157, 12.4293333 51.8386489, 12.4290702 51.8383564, 12.4289658 51.8383564, 12.4288295 51.8381996, 12.428737 51.8382039, 12.4287346 51.8380675, 12.4285554 51.8378833, 12.4286223 51.8378585, 12.4285073 51.8377404, 12.4281303 51.8378805))",,,,,12.428710404747882,51.83826916247463,3.3976479499924926e-07,0
87586545,industrial,"POLYGON ((12.3590534 51.8447085, 12.3600373 51.844526, 12.3599337 51.844313, 12.3589953 51.8444871, 12.3588343 51.8441559, 12.3585626 51.8442063, 12.3587317 51.8445542, 12.3566189 51.8449419, 12.3566769 51.8450833, 12.3566366 51.8450899, 12.3566732 51.8451712, 12.3587833 51.8447662, 12.3588167 51.8448429, 12.358867 51.8449585, 12.356341 51.8454272, 12.3565102 51.8457752, 12.3567001 51.84574, 12.356921 51.8461944, 12.3603558 51.845557, 12.3601257 51.8450837, 12.3602343 51.8450636, 12.360061 51.8447072, 12.3591362 51.8448788, 12.359092 51.8447878, 12.3590534 51.8447085))",,,6,Kraftwerk Vockerode,12.358423976767545,51.84529072921679,4.072879225009612e-06,3
89147042,yes,"POLYGON ((12.3958078 51.8428617, 12.3958078 51.8429425, 12.3959665 51.8429425, 12.3959665 51.8428617, 12.3958078 51.8428617))",,,,,12.39588715,51.8429021,1.2822959999880817e-08,0
89147058,yes,"POLYGON ((12.3907736 51.8398913, 12.3909043 51.8399778, 12.3910243 51.8399086, 12.3908936 51.8398221, 12.3907736 51.8398913))",,,,,12.390898949999999,51.83989994999999,1.942444000008227e-08,0
89147061,yes,"POLYGON ((12.3903909 51.839799, 12.3905029 51.8398855, 12.3905963 51.8398394, 12.3904843 51.8397529, 12.3903909 51.839799))",,,,,12.3904936,51.83981920000001,1.32423000000853e-08,0
89309549,yes,"POLYGON ((12.4853406 51.8163847, 12.4868907 51.8163331, 12.4868748 51.8161503, 12.485447 51.8161978, 12.4854577 51.816321, 12.4853354 51.8163251, 12.4853406 51.8163847))",,,,,12.4861479131968,51.81626783294906,2.690913150052452e-07,0
89309565,yes,"POLYGON ((12.4879995 51.8200121, 12.4878576 51.8201123, 12.4879657 51.8201708, 12.4881076 51.8200706, 12.4879995 51.8200121))",,,,,12.4879826,51.82009145,1.913276999999893e-08,0
89313799,yes,"POLYGON ((12.4713625 51.8350024, 12.4713322 51.83515, 12.4716925 51.8351782, 12.4717092 51.8350968, 12.4716012 51.8350883, 12.4714454 51.8350761, 12.4714589 51.8350099, 12.4713625 51.8350024))",,,,,12.471499835874841,51.83510834947009,3.629809999926566e-08,0
89313806,yes,"POLYGON ((12.4693232 51.8339294, 12.4695812 51.8338691, 12.4695369 51.8337989, 12.4692796 51.8338582, 12.4693232 51.8339294))",,,,,12.469430019139619,51.833863978001624,2.0844065000633272e-08,0
89313813,yes,"POLYGON ((12.4673579 51.8347273, 12.4676156 51.8347524, 12.4676426 51.8346601, 12.4673804 51.8346327, 12.4673579 51.8347273))",,,,,12.467498747802713,51.83469293385197,2.4942014999479562e-08,0
89313825,yes,"POLYGON ((12.4681818 51.834842, 12.4685304 51.8348635, 12.4685476 51.8347573, 12.468199 51.8347357, 12.4681922 51.8347776, 12.4681818 51.834842))",,,,,12.468364667981877,51.83479962250019,3.741048999934254e-08,0
89313846,yes,"POLYGON ((12.4683287 51.834702, 12.4685379 51.834715, 12.4685495 51.8346437, 12.4683403 51.8346308, 12.4683287 51.834702))",,,,,12.468439124149228,51.834672876956986,1.5055720000261954e-08,0
89313855,yes,"POLYGON ((12.4700927 51.8338045, 12.470507 51.8337103, 12.4704383 51.8335914, 12.4703713 51.8336057, 12.4703974 51.8336508, 12.4701401 51.8337059, 12.4701086 51.8336477, 12.4700168 51.8336633, 12.4700927 51.8338045))",,,,,12.470260537676946,51.83370766736302,4.5041354999745344e-08,0
89337377,yes,"POLYGON ((12.4160192 51.8182354, 12.4160637 51.8181252, 12.4159519 51.818108, 12.4159073 51.8182181, 12.4160192 51.8182354))",,,,,12.415985527348786,51.81817168688809,1.3088764999896887e-08,0
89337380,yes,"POLYGON ((12.4138021 51.8176265, 12.4139918 51.8176453, 12.4140131 51.817563, 12.4143403 51.8175954, 12.4143663 51.817495, 12.4139933 51.817458, 12.4140048 51.8174139, 12.413861 51.8173996, 12.4138021 51.8176265))",,,,,12.41404088871324,51.81752767426338,7.575769500001755e-08,1
89337385,yes,"POLYGON ((12.4178389 51.8175421, 12.4179355 51.8172345, 12.4177639 51.8172139, 12.4176673 51.8175215, 12.4178389 51.8175421))",,,,,12.417801400000002,51.817378,5.477411999976248e-08,0
89337388,yes,"POLYGON ((12.4146154 51.8181161, 12.4142663 51.8180701, 12.4142423 51.8181398, 12.4145914 51.8181857, 12.4146154 51.8181161))",,,,,12.414428810232696,51.81812791919277,2.541761500020751e-08,1
