,building,geometry,amenity,shop,leisure,sport,building:levels,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
91119535,yes,"POLYGON ((11.9650633 47.8181034, 11.9647596 47.8181236, 11.9646914 47.8176611, 11.9649951 47.8176409, 11.9650633 47.8181034))",,,,,,11.96487735,47.81788225,1.4183888999935663e-07,2
91119540,yes,"POLYGON ((11.9658543 47.8175997, 11.9658597 47.817679, 11.9660097 47.8176745, 11.9660043 47.8175951, 11.9658543 47.8175997))",,,,,,11.965932015700167,47.81763707422376,1.1927070000047332e-08,2
91119541,yes,"POLYGON ((11.9659771 47.8179523, 11.9659556 47.817848, 11.9661534 47.8178297, 11.9661748 47.817934, 11.9659771 47.8179523))",,,,,,11.966065222678141,47.817890995819596,2.1017860000764343e-08,2
98015187,yes,"POLYGON ((12.009761 47.7876338, 12.0097689 47.7873882, 12.0096256 47.7873861, 12.0096177 47.7876317, 12.009761 47.7876338))",,,,,,12.009693299999999,47.78750994999999,3.521106999983602e-08,2
98015191,yes,"POLYGON ((12.0096673 47.7891699, 12.0096525 47.7888917, 12.0087892 47.7889125, 12.0088041 47.7891907, 12.0096673 47.7891699))",,,,,,12.009228274234575,47.78904119733286,2.4046502999703407e-07,2
98015196,yes,"POLYGON ((12.0068043 47.788683, 12.0068047 47.7887414, 12.006463 47.7887423, 12.0064621 47.7885914, 12.0063653 47.7885917, 12.0063643 47.7884234, 12.0065131 47.788423, 12.0065126 47.7883357, 12.0067476 47.788335, 12.0067479 47.7883922, 12.0069093 47.7883918, 12.006911 47.7886827, 12.0068043 47.788683))",,,,,,12.006652794375983,47.788542656302994,1.7855417500142712e-07,2
98015204,yes,"POLYGON ((12.008173 47.7886916, 12.0081809 47.788788, 12.0082065 47.7892716, 12.0078036 47.7892745, 12.0078057 47.7892212, 12.0074615 47.7892238, 12.0074619 47.7892803, 12.0071275 47.7892812, 12.0071175 47.7891728, 12.0069532 47.7891769, 12.0069472 47.7890638, 12.007007 47.7890641, 12.0070047 47.7889997, 12.0068827 47.7889969, 12.0068715 47.7888412, 12.0069781 47.7888387, 12.0069762 47.7887546, 12.0070248 47.7887546, 12.0070248 47.7888061, 12.0072727 47.7888032, 12.0071443 47.7878303, 12.0074554 47.7878087, 12.0076207 47.7887203, 12.0077671 47.7887242, 12.007766 47.7885669, 12.0080708 47.7885556, 12.0080885 47.7883422, 12.0082387 47.7883422, 12.0082495 47.7884071, 12.0083853 47.788408, 12.0084021 47.7883653, 12.0084878 47.7883772, 12.0084166 47.788555, 12.0081738 47.7886086, 12.008173 47.7886916))",,,,,,12.007599244670885,47.788735742054584,1.0802605049996564e-06,2
101789467,yes,"POLYGON ((12.0139835 47.7898921, 12.0139904 47.7898006, 12.0138627 47.7897962, 12.0138558 47.7898878, 12.0139835 47.7898921))",,,,,,12.013923088439732,47.789844174155945,1.1720950000543559e-08,2
101789470,yes,"POLYGON ((12.013381 47.7896926, 12.0132628 47.7894727, 12.0130777 47.7895142, 12.0131958 47.789734, 12.013381 47.7896926))",,,,,,12.013229334862542,47.78960337736941,4.5602545000945876e-08,2
102013383,school,"POLYGON ((11.9733062 47.7959276, 11.9733214 47.7957743, 11.9733594 47.795776, 11.9738715 47.795799, 11.9738613 47.7959023, 11.9738346 47.7959011, 11.9738296 47.7959511, 11.9733062 47.7959276))",,,,,,11.973584731515468,47.7958622790831,8.336942000110012e-08,2
102013386,yes,"POLYGON ((11.9740088 47.7936377, 11.9739985 47.7935593, 11.9739819 47.7934328, 11.974592 47.7934101, 11.9746127 47.7936068, 11.9740088 47.7936377))",,,,,,11.974296707656908,47.79352180051427,1.22524194998734e-07,2
102130909,yes,"POLYGON ((11.9615211 47.7963581, 11.9615783 47.7962922, 11.9613969 47.7962211, 11.9613486 47.7962021, 11.9612913 47.796268, 11.9615211 47.7963581))",,,,,,11.961434812970563,47.79628011124178,2.02925149997244e-08,2
104408656,yes,"POLYGON ((12.0083549 47.7841394, 12.0087078 47.7840278, 12.0086287 47.7839149, 12.0083747 47.7839952, 12.0083475 47.7839563, 12.0082485 47.7839876, 12.0083549 47.7841394))",,,,,,12.008475913095662,47.784023998052035,5.337890499989364e-08,2
104408658,yes,"POLYGON ((12.0060683 47.7823636, 12.0062676 47.7823657, 12.0062644 47.7825041, 12.0064032 47.7825055, 12.0064069 47.7823453, 12.006302 47.7823442, 12.0063065 47.7821527, 12.0060732 47.7821503, 12.0060683 47.7823636))",,,,,,12.006232639838524,47.78230912416183,7.127303000001164e-08,2
104408662,yes,"POLYGON ((12.0294301 47.7687119, 12.0295935 47.7686871, 12.0295384 47.768523, 12.0293749 47.7685478, 12.0294301 47.7687119))",,,,,,12.029484221126367,47.76861744222127,2.818986499974155e-08,2
104408666,yes,"POLYGON ((12.0099158 47.7821091, 12.0104904 47.782193, 12.0105419 47.7820336, 12.0102093 47.7819851, 12.0102649 47.7818132, 12.0104849 47.7818453, 12.0105232 47.7817267, 12.0101465 47.7816718, 12.0100508 47.7819682, 12.0099653 47.7819557, 12.0099158 47.7821091))",,,,,,12.010241793901011,47.78195542128664,1.7031801000075236e-07,2
110085311,farm_auxiliary,"POLYGON ((11.9762336 47.826177, 11.9762295 47.8261043, 11.9758964 47.8261135, 11.9759006 47.8261861, 11.9762336 47.826177))",,,,,,11.976065061985203,47.826145222062244,2.4234055001215603e-08,2
110085315,farm_auxiliary,"POLYGON ((11.9754857 47.8264893, 11.9754767 47.8263862, 11.9759237 47.8263682, 11.9759326 47.8264715, 11.9754857 47.8264893))",,,,,,11.975704745296463,47.826428794926784,4.628544499915455e-08,2
110195769,yes,"POLYGON ((11.9712098 47.8286137, 11.9711724 47.8285238, 11.9708725 47.8285801, 11.9709099 47.82867, 11.9712098 47.8286137))",,,,,,11.971041150000003,47.82859690000001,2.9066629999847375e-08,2
110199827,yes,"POLYGON ((11.9540419 47.8242036, 11.9537948 47.8242094, 11.9538076 47.8244538, 11.9540547 47.824448, 11.9540419 47.8242036))",,,,,,11.953924749999999,47.82432870000001,6.046548000001272e-08,2
110199828,yes,"POLYGON ((11.9550351 47.8242778, 11.9544454 47.8242869, 11.9544412 47.8241641, 11.9541948 47.8241679, 11.9542057 47.824489, 11.9550419 47.8244762, 11.9550351 47.8242778))",,,,,,11.954574107728806,47.824359351806066,1.962153300019376e-07,2
110565831,yes,"POLYGON ((11.976398 47.8232424, 11.9762458 47.8231838, 11.976176 47.8232655, 11.9761014 47.8232368, 11.9760147 47.8233384, 11.9761578 47.8233935, 11.9762192 47.8233216, 11.9763028 47.8233538, 11.976398 47.8232424))",,,,,,11.976208198506594,47.82328996298302,3.9146755000161424e-08,2
110565832,yes,"POLYGON ((11.9827991 47.8186184, 11.9829276 47.8185823, 11.9827884 47.818359, 11.9826599 47.8183951, 11.9827991 47.8186184))",,,,,,11.98279375,47.8184887,3.3719169999740113e-08,2
110565835,yes,"POLYGON ((11.9798295 47.823359, 11.9795614 47.8233983, 11.9795261 47.8232902, 11.979693 47.8232657, 11.9797141 47.8233306, 11.9798154 47.8233157, 11.9798295 47.823359))",,,,,,11.97965544875212,47.82333450464143,2.3495540000398357e-08,2
110565836,garages,"POLYGON ((11.9814002 47.8230751, 11.9812345 47.8229772, 11.9811445 47.8230458, 11.9813102 47.8231437, 11.9814002 47.8230751))",,,,,,11.98127235,47.82306045000001,2.0178020001004343e-08,2
110565837,yes,"POLYGON ((11.97604 47.8234183, 11.9758846 47.823364, 11.9756724 47.8236379, 11.9758294 47.8236927, 11.9759021 47.8235987, 11.9758227 47.823571, 11.9758775 47.8235003, 11.9759554 47.8235275, 11.97604 47.8234183))",,,,,,11.97585137544347,47.82352540569113,4.726487000015449e-08,2
110565838,yes,"POLYGON ((11.9805257 47.8233611, 11.9805419 47.8232645, 11.9803561 47.8232505, 11.9803765 47.8231286, 11.9801683 47.8231129, 11.9801439 47.8232582, 11.9803434 47.8232733, 11.9803311 47.8233464, 11.9805257 47.8233611))",,,,,,11.980327666286076,47.82323623463873,4.946882999966728e-08,2
110565839,yes,"POLYGON ((11.9847748 47.8206042, 11.9846782 47.8205033, 11.9845065 47.8206186, 11.9845816 47.8206762, 11.9847748 47.8206042))",,,,,,11.984641334065465,47.820596545307964,2.2499015000128163e-08,2
110565840,yes,"POLYGON ((11.9863977 47.8212923, 11.9865943 47.8212574, 11.9865587 47.821167, 11.9866561 47.8211497, 11.9865578 47.8209002, 11.9863658 47.8209343, 11.9864568 47.8211651, 11.9863548 47.8211832, 11.9863977 47.8212923))",,,,,,11.986499488936358,47.821095330360066,7.22987700010558e-08,2
110565841,yes,"POLYGON ((11.9718312 47.8189364, 11.9718012 47.8188007, 11.9711776 47.8188629, 11.9712076 47.8189985, 11.9718312 47.8189364))",,,,,,11.971504437396451,47.818899620872045,8.645584000046549e-08,2
110565842,yes,"POLYGON ((11.9752762 47.8227074, 11.9753169 47.8225661, 11.975195 47.8225503, 11.9751543 47.8226916, 11.9752762 47.8227074))",,,,,,11.9752356,47.822628849999994,1.7867529999447927e-08,2
110565843,yes,"POLYGON ((11.9793888 47.8238847, 11.9794919 47.823817, 11.9791208 47.8235621, 11.9790176 47.8236298, 11.9793888 47.8238847))",,,,,,11.979254758535944,47.8237233902128,5.1419790000850897e-08,2
110565844,yes,"POLYGON ((11.9750338 47.8227374, 11.9747858 47.8226903, 11.9748979 47.8224247, 11.9751459 47.8224718, 11.9750338 47.8227374))",,,,,,11.974965850000002,47.82258105,7.114871000006552e-08,2
110565846,yes,"POLYGON ((11.9674833 47.8267543, 11.9676507 47.8267236, 11.967576 47.8265403, 11.9674087 47.826571, 11.9674833 47.8267543))",,,,,,11.967529679757533,47.82664730825481,3.296700999994484e-08,2
110565848,yes,"POLYGON ((11.9872075 47.8214234, 11.9873725 47.8213932, 11.987305 47.8212272, 11.9871401 47.8212574, 11.9872075 47.8214234))",,,,,,11.987256279582743,47.82132530754735,2.9418689999770256e-08,2
