,infected_to_diagnosed,infected_to_dead,infected_to_recovered,diagnosed_to_hospital,diagnosed_to_dead,diagnosed_to_recovered,hospitalized_to_ICUed,hospitalized_to_dead,hospitalized_to_recovered,ICUed_to_dead,ICUed_to_recovered,infectivity factor
0,0.000718140550915924,0.0,0.0006466676136866817,0.0004617957218495878,1.4975536848290652e-06,0.0007266117162865664,0.004665451322699492,1.795116034471655e-05,0.0006478405748690181,0.0003504991815302281,0.0008471624125011079,0.0
1,0.0007241249166895351,0.0,0.0006487402591916283,0.00046660591951568385,1.50275350309741e-06,0.0007287742447666891,0.004859731489393602,1.8034266974090632e-05,0.0006502945046929974,0.00035195958632635693,0.0008506922354379696,0.0
2,0.0007301084472851097,0.0,0.0006508128620332008,0.00047141506700673787,1.507953195731011e-06,0.0007309367348703439,0.005053321183841116,1.811737003134867e-05,0.0006527483639437073,0.0003534199402911044,0.0008542219355145283,0.0
3,0.0007360903013510148,0.0,0.0006528853794242314,0.00047622210452578624,1.5131526367006128e-06,0.0007330991481175693,0.0052455079206566065,1.8200465929486716e-05,0.0006552020818064211,0.0003548801924020702,0.0008577513894087849,0.0
4,0.0007420696309637009,0.0,0.0006549577684437138,0.0004810259621015969,1.518351699550766e-06,0.0007352614459164385,0.00543555892817784,1.8283551065471766e-05,0.0006576555872058046,0.00035634029143091284,0.000861280473300977,0.0
5,0.0007480455818103452,0.0,0.0006570299860381438,0.000485825559951648,1.5235502574044684e-06,0.000737423589564098,0.005622725555453038,1.8366621820477857e-05,0.0006601088088090217,0.0003578001859460638,0.0008648090628801392,0.0
6,0.000754017293375211,0.0,0.0006591019890228698,0.0004906198088541382,1.5287481829678433e-06,0.0007395855402478139,0.005806247982903443,1.8449674560124917e-05,0.000662561675028873,0.00035925982431547,0.0008683370333507313,0.0
7,0.0007599838991296768,0.0,0.0006611737340834562,0.000495407610528874,1.5339453485348628e-06,0.0007417472590460253,0.005985360197795601,1.8532705634720405e-05,0.0006650141140269625,0.0003607191547093653,0.0008718642594393374,0.0
8,0.0007659445267258863,0.0,0.0006632451777770561,0.0005001878580268777,1.5391416259921108e-06,0.0007439087069294063,0.006159295191018298,1.8615711379503658e-05,0.000667466053716895,0.00036217812510307064,0.0008753906154014341,0.0
9,0.0007718982981939636,0.0,0.0006653162765337956,0.0005049594361285397,1.5443368868235868e-06,0.0007460698447619366,0.006327290327473348,1.869868811489298e-05,0.0006699174217675031,0.0003636366832798227,0.0008789159750282266,0.0
10,0.0007778443301427448,0.0,0.0006673869866581697,0.0005097212217501474,1.5495310021155494e-06,0.0007482306333019788,0.00648859283873858,1.8781632146735455e-05,0.0006723681456061028,0.00036509477683362986,0.0008824402116535526,0.0
11,0.0007837817339639626,0.0,0.0006694572643304471,0.0005144720843585978,1.5547238425614024e-06,0.0007503910332033632,0.006642465383620219,1.8864539766559354e-05,0.00067481815242178,0.0003665523531721571,0.0008859631981608542,0.0
12,0.0007897096160398339,0.0,0.0006715270656080875,0.0005192108863941038,1.5599152784666178e-06,0.000752551005016483,0.006788191619846894,1.894740725182931e-05,0.0006772673691687054,0.0003680093595196383,0.0008894848069902179,0.0
13,0.0007956270779539803,0.0,0.0006735963464271698,0.0005239364837006956,1.5651051797537046e-06,0.000754710509189393,0.006925081728524908,1.903023086620406e-05,0.0006797157225694778,0.0003694657429198158,0.0008930049101454788,0.0
14,0.0008015332167056275,0.0,0.0006756650626038296,0.0005286477259643024,1.5702934159672085e-06,0.0007568695060689205,0.007052477832119408,1.9113006859796834e-05,0.0006821631391184967,0.00037092145023890846,0.000896523379201395,0.0
15,0.0008074271249270125,0.0,0.0006777331698357073,0.0005333434571582024,1.5754798562787592e-06,0.0007590279559017807,0.007169759246681117,1.9195731469438346e-05,0.0006846095450853645,0.0003723764281686056,0.0009000400853108836,0.0
16,0.0008133078911039348,0.0,0.0006798006237034084,0.0005380225159956165,1.5806643694921532e-06,0.0007611858188357008,0.007276347509822764,1.9278400918942333e-05,0.0006870548665183148,0.0003738306232290888,0.0009035548992123246,0.0
17,0.0008191745997993831,0.0,0.0006818673796719733,0.0005426837363892117,1.585846824048477e-06,0.0007633430549205518,0.007371711127568076,1.9361011419373646e-05,0.0006894990292476716,0.00037528398177208037,0.0009070676912369294,0.0
18,0.0008250263318801629,0.0,0.0006839333930923568,0.0005473259479172758,1.5910270880312658e-06,0.0007654996241094882,0.007455369985639953,1.9443559169318907e-05,0.0006919419588893348,0.0003767364499839178,0.0009105783313161709,0.0
19,0.0008308621647464572,0.0,0.00068599861920292,0.0005519479762963204,1.596205029171707e-06,0.0007676554862600944,0.0075268993739991946,1.9526040355159622e-05,0.0006943835808482936,0.00037818797388865596,0.0009140866889892827,0.0
20,0.000836681172564242,0.0,0.000688063013130929,0.000556548643859853,1.6013805148538747e-06,0.0007698106011355389,0.007585933577452623,1.9608451151347803e-05,0.0006968238203221688,0.0003796384993511933,0.0009175926334108145,0.0
21,0.0008424824265004807,0.0,0.0006901265298940688,0.0005611267700430638,1.6065534121200082e-06,0.0007719649284057364,0.007632168989867135,1.9690787720684016e-05,0.0006992626023047808,0.0003810879720804264,0.0009210960333582572,0.0
22,0.0008482649949610184,0.0,0.0006921891244019626,0.0005656811718731559,1.6117235876758265e-06,0.0007741184276485163,0.007665366714889282,1.9773046214597892e-05,0.0007016998515897457,0.0003825363376324282,0.0009245967572397238,0.0
